RevDate,RK,RUNKEY,Exits,HPOT,LPOT,UPOT,Id
04OCT2022,1,646/ 4:42:46-305,,,,,231
04OCT2022,2,642/ 4:38:50-315,27,6,7,5,217
04OCT2022,3,640/ 4:50:43-109,,,,,202
04OCT2022,4,651/ 4:53:16-111,,,,,267
04OCT2022,5,664/ 4:54:18-307,,,,,316
04OCT2022,6,663/ 4:58:11-203,,,,,313
04OCT2022,7,688/ 5:12:39-309,,,,,434
04OCT2022,8,698/ 5:26:15-311,,,,,476
04OCT2022,9,674/ 5:32:21-323,,,,,374
04OCT2022,10,707/ 5:36:33-918,,,,,533
04OCT2022,11,709/ 5:47:13-325,,,,,547
04OCT2022,12,639/ 5:57:44-101,,,,,190
04OCT2022,13,640/ 5:12: 3-109,16,0,2,1,204
04OCT2022,14,711/ 5:41:15-407,20,0,2,0,551
04OCT2022,15,646/ 6:12:14-305,,,,,233
04OCT2022,16,651/ 5:18:40-111,15,2,2,0,269
04OCT2022,17,639/ 6:20:15-102,,,,,191
04OCT2022,18,640/ 6:18: 8-109,,,,,205
04OCT2022,19,738/ 6:26:35-502,,,,,576
04OCT2022,20,711/ 6:35:46-807,,,,,552
04OCT2022,21,651/ 6:35: 2-110,46,3,5,3,271
04OCT2022,22,669/ 6:40:18-112,,,,,355
04OCT2022,23,669/ 7: 5: 9-102,,,,,356
04OCT2022,24,709/ 7:45:52-725,,,,,549
04OCT2022,25,677/ 7:33:55-903,,,,,403
04OCT2022,26,803/ 8:16:52-918,,,,,681
04OCT2022,27,744/ 8:31:48-955,,,,,597
04OCT2022,28,661/11: 0:19-911,,,,,312
04OCT2022,29,941/12:56:44-950,,,,,814
04OCT2022,30,987/14:20:41-959,,,,,863
04OCT2022,31,989/14:24:58-211,,,,,864
04OCT2022,32,952/14:51:17-611,,,,,832
04OCT2022,33,688/15:14:53-709,,,,,442
04OCT2022,34,690/15:43:27-123,,,,,451
04OCT2022,35,30/15:52:20-918,,,,,139
04OCT2022,36,27/15:52:42-975,,,,,135
04OCT2022,37,665/16:45: 4-721,,,,,338
04OCT2022,38,646/17:19:43-325,,,,,240
04OCT2022,39,809/18:59:33-101,,,,,698
04OCT2022,40,763/19:12:36-103,,,,,630
04OCT2022,41,782/19:29: 9-105,,,,,666
04OCT2022,42,651/19:38:33-107,,,,,278
04OCT2022,43,803/20: 9:26-309,,,,,684
04OCT2022,44,639/20:11:46-111,,,,,200
04OCT2022,45,746/20:27:59-113,,,,,607
04OCT2022,46,122/20:28: 2-209,,,,,33
04OCT2022,47,674/20:43:53-301,,,,,384
04OCT2022,48,645/20:45:53-315,,,,,230
04OCT2022,49,640/20:41:22-115,,,,,215
04OCT2022,50,134/20:58:31-213,,,,,38
04OCT2022,51,652/21:13:39-305,,,,,291
04OCT2022,52,147\21:37:14-219,,,,,47
04OCT2022,53,145/21:36:48-217,,,,,44
04OCT2022,54,698/22: 1:36-711,,,,,487
04OCT2022,55,177/ 0:19: 8-215,,,,,65
04OCT2022,56,638/ 0:36:31-303,,,,,174
04OCT2022,57,664/ 1: 1:22-307,,,,,315
04OCT2022,58,707/ 1:19:50-321,,,,,532
04OCT2022,59,682/ 2: 0:44-311,,,,,405
04OCT2022,60,746/10: 2:43-113,135,0,10,6,600
04OCT2022,61,707/ 9:58:17-319,424,78,118,102,536
04OCT2022,62,812/10: 8:29-221,70,35,33,28,701
04OCT2022,63,808/10: 1:42-405,158,3,7,3,691
04OCT2022,64,858/ 9:59: 2-209,77,0,8,3,738
04OCT2022,65,809/10: 1:32-101,178,5,8,3,693
04OCT2022,66,676/10: 7:48-513,96,0,13,10,389
04OCT2022,67,821/10: 9:50-409,3,,0,0,711
04OCT2022,68,818/10: 4: 1-407,1,,2,1,704
04OCT2022,69,664/10: 3:58-307,178,7,11,8,320
04OCT2022,70,22922-36804-419-7,,,,,108
04OCT2022,71,648/10:10:42-503,93,9,10,5,252
04OCT2022,72,640/10:15:11-115,143,0,9,4,208
04OCT2022,73,665/10:15:22-321,327,10,24,7,334
04OCT2022,74,820/10:16:43-223,87,0,9,2,709
04OCT2022,75,818/10:18:15-407,184,19,29,20,705
04OCT2022,76,763/10:12:49-103,140,0,4,0,624
04OCT2022,77,864/10:14:32-211,106,28,37,29,744
04OCT2022,78,696/10:21:28-515,93,1,5,0,467
04OCT2022,79,831/10:24:50-411,2,,0,0,717
04OCT2022,80,821/10:25:32-409,5,,0,0,712
04OCT2022,81,688/10:25:32-309,201,16,32,26,439
04OCT2022,82,866/10:25:44-421,205,26,42,35,746
04OCT2022,83,692/10:23:55-505,90,0,13,2,456
04OCT2022,84,685/10:30:28-117,89,0,3,1,428
04OCT2022,85,682/10:27:14-323,259,0,7,2,410
04OCT2022,86,826/10:30:52-201,94,0,3,2,715
04OCT2022,87,821/10:33:16-409,132,1,7,1,713
04OCT2022,88,873/10:32:21-213,66,0,5,1,750
04OCT2022,89,782/10:34:22-105,135,0,4,1,660
04OCT2022,90,706/10:36:45-517,113,1,8,2,528
04OCT2022,91,841/10:39:50-413,6,,0,0,723
04OCT2022,92,831/10:40:56-411,1,,1,1,718
04OCT2022,93,698/10:40:55-311,188,36,27,21,480
04OCT2022,94,881/10:42:50-423,144,0,6,2,756
04OCT2022,95,701/10:38:52-507,87,0,2,0,501
04OCT2022,96,702/10:45:31-119,89,0,0,0,513
04OCT2022,97,646/10:44: 3-325,263,0,10,6,236
04OCT2022,98,834/10:45:34-203,125,0,5,2,721
04OCT2022,99,831/10:48:16-411,158,3,15,12,719
04OCT2022,100,651/10:45:31-107,126,0,5,2,272
04OCT2022,101,880/10:48: 5-215,123,0,7,6,754
04OCT2022,102,738/10:51:46-519,89,0,10,5,580
04OCT2022,103,849/10:54:50-415,6,,0,0,729
04OCT2022,104,841/10:53:51-413,6,,1,1,724
04OCT2022,105,777/10:53:53-313,198,0,10,1,641
04OCT2022,106,887/10:57: 1-401,193,0,7,1,760
04OCT2022,107,671/10:52:26-509,84,0,7,0,362
04OCT2022,108,666/11: 5:30-121,92,28,28,21,344
04OCT2022,109,674/10:58: 4-301,283,0,16,2,378
04OCT2022,110,847/10:58:48-205,135,0,9,3,727
04OCT2022,111,841/11: 3:15-413,141,1,7,4,725
04OCT2022,112,889/11: 2: 9-217,98,11,13,12,764
04OCT2022,113,655/10:55:57-109,102,0,6,4,300
04OCT2022,114,716/11: 9:10-501,85,6,29,23,557
04OCT2022,115,854/11: 9:50-417,3,,0,0,735
04OCT2022,116,849/10:59:30-415,5,,2,2,730
04OCT2022,117,645/11:10:18-315,164,0,8,2,224
04OCT2022,118,895/11:10:59-403,186,0,4,2,766
04OCT2022,119,676/11:15:31-511,111,0,4,0,390
04OCT2022,120,690/11:16: 5-123,104,0,7,5,448
04OCT2022,121,638/11:12:32-303,347,177,203,188,179
04OCT2022,122,853/11:17:11-207,108,0,10,1,733
04OCT2022,123,849/11:16:41-415,159,40,64,58,731
04OCT2022,124,639/11: 9:20-111,109,51,66,55,194
04OCT2022,125,899/11:18: 5-219,74,0,6,3,770
04OCT2022,126,648/11:21:53-503,116,0,6,0,253
04OCT2022,127,22922-41088-419-13,,,,,109
04OCT2022,128,854/11:17: 5-417,5,,3,3,736
04OCT2022,129,650/11:21:52-317,223,0,13,2,261
04OCT2022,130,902/11:26:40-405,181,0,8,4,776
04OCT2022,131,696/11:27:40-513,123,8,9,2,468
04OCT2022,132,809/11:29:56-101,155,38,42,33,694
04OCT2022,133,652/11:29: 3-305,228,67,80,59,285
04OCT2022,134,858/11:28:19-209,108,0,2,0,739
04OCT2022,135,854/11:33:16-417,94,1,4,1,737
04OCT2022,136,746/11:24:41-113,101,2,5,3,601
04OCT2022,137,908/11:36:19-221,76,26,26,23,780
04OCT2022,138,22922-41664-221-4,,,,,110
04OCT2022,139,692/11:36:46-505,71,0,4,0,457
04OCT2022,140,866/11:40: 8-421,10,,1,1,747
04OCT2022,141,22922-42084-419-14,,,,,111
04OCT2022,142,707/11:40:10-319,234,0,9,3,537
04OCT2022,143,911/11:42:43-407,156,51,76,65,782
04OCT2022,144,706/11:41:30-515,41,10,15,13,529
04OCT2022,145,763/11:44:12-103,118,1,23,16,625
04OCT2022,146,664/11:42:18-307,182,52,86,74,321
04OCT2022,147,864/11:45:50-211,155,23,45,35,745
04OCT2022,148,22922-42516-419-8,,,,,112
04OCT2022,149,640/11:41:42-115,97,0,7,0,209
04OCT2022,150,914/11:53:37-223,84,35,38,32,786
04OCT2022,151,22922-42564-223-4,,,,,113
04OCT2022,152,701/11:49:55-507,69,0,2,0,502
04OCT2022,153,881/11:54:51-423,4,,0,0,757
04OCT2022,154,866/11:49:46-421,3,,2,2,748
04OCT2022,155,665/11:47:16-321,281,43,78,67,335
04OCT2022,156,916/11:55:47-409,140,86,64,67,788
04OCT2022,157,738/11:56:57-517,91,1,5,1,581
04OCT2022,158,782/11:59:49-105,110,1,7,0,661
04OCT2022,159,688/11:58:24-309,209,0,7,2,440
04OCT2022,160,873/11:58:56-213,135,0,3,1,751
04OCT2022,161,866/12: 1:40-421,153,40,31,28,749
04OCT2022,162,685/11:58:57-117,78,0,4,1,429
04OCT2022,163,920/12: 2:21-201,76,6,16,17,792
04OCT2022,164,671/12: 5: 3-509,112,1,12,8,363
04OCT2022,165,887/12: 9:49-401,2,,0,0,761
04OCT2022,166,881/12: 1:37-423,4,,1,1,758
04OCT2022,167,682/12: 4:29-323,261,0,7,1,411
