RevDate,RK,SRK,Rt,STrain,Train,SOr,SDe,Or,De,TN,RR,Dir,Loc,LLoc,DO,DC,SDO,SDC,DO1,DC1,SDO1,SDC1,LRD,DD,PLe,Delay,Note,Del,PDO,PDC,EOL,TS,ind,Code
11AUG2022,1,250/ 4:38:43-105,190,,105,"","",A80,S50,1,1,1,A80,"",04:38,04:38,"","",16737,16737,,,0,0,2,0,"",0,0,0,,12AUG1922:05:26:07.000000,1,""
11AUG2022,1,250/ 4:38:43-105,190,,105,"","",A80,S50,1,1,1,A90,A80,04:42,04:42,"","",16961,16961,,,0,0,2,0,"",0,0,0,,12AUG1922:05:26:07.000000,2,""
11AUG2022,1,250/ 4:38:43-105,190,,105,"","",A80,S50,1,1,1,S20,A90,04:48,04:48,"","",17310,17310,,,0,0,2,0,"",0,0,0,,12AUG1922:05:26:07.000000,3,""
11AUG2022,1,250/ 4:38:43-105,190,,105,"","",A80,S50,1,1,1,S40,S20,04:55,04:55,"","",17744,17744,,,0,0,0,0,"",0,0,0,,12AUG1922:05:26:07.000000,4,""
11AUG2022,1,250/ 4:38:43-105,190,,105,"","",A80,S50,1,1,1,S50,S40,05:02,05:02,"","",18121,18121,,,0,0,2,0,"",0,0,0,,12AUG1922:05:26:07.000000,5,""
11AUG2022,2,258/ 4:39: 7-303,770,,303,"","",C60,C88,1,1,1,C60,"",04:39,04:39,"","",16765,16765,,,0,0,4,0,"",0,0,0,,12AUG1922:05:26:07.000000,6,""
11AUG2022,2,258/ 4:39: 7-303,770,,303,"","",C60,C88,1,1,1,C70,C60,04:42,04:42,"","",16939,16939,,,0,0,0,0,"",0,0,0,,12AUG1922:05:26:07.000000,7,""
11AUG2022,2,258/ 4:39: 7-303,770,,303,"","",C60,C88,1,1,1,C80,C70,04:52,04:52,"","",17558,17558,,,0,0,6,0,"",0,0,0,,12AUG1922:05:26:07.000000,8,""
11AUG2022,2,258/ 4:39: 7-303,770,,303,"","",C60,C88,2,-1,1,C88,C80,04:54,04:54,"","",17657,17657,,,0,0,6,0,"",0,0,0,,12AUG1922:05:26:07.000000,9,""
11AUG2022,3,257/ 4:41:16-107,190,,107,"","",A80,S50,1,1,1,A80,"",04:41,04:41,"","",16890,16890,,,0,0,2,0,"",0,0,0,,12AUG1922:05:26:07.000000,10,""
