Id,RevDate,RUNKEY,RK,SRK,SLength,Length,FOTF,CAR1,CAR2,CAR3,CAR4,CAR5,CAR6,CAR7,CAR8,CAR9,CAR10
1,13NOV2022,21/ 0:28:42-303,393,22962-88284-303-14,10,10,1,3162,4011,4071,4188,3036,3150,4038,4144,4206,3038
2,13NOV2022,21/ 8: 5:18-303,421,22962-29832-303-1,10,10,1,3162,4011,4071,4188,3036,3150,4038,4144,4206,3038
3,13NOV2022,21/ 9:49:11-303,468,22962-35844-303-2,10,10,1,3162,4011,4071,4188,3036,3150,4038,4144,4206,3038
4,13NOV2022,21/11: 8:16-303,71,22962-40632-303-1,10,10,1,3162,4011,4071,4188,3036,3150,4038,4144,4206,3038
5,13NOV2022,21/12:43:33-303,115,22962-46644-303-2,10,10,1,3162,4011,4071,4188,3036,3150,4038,4144,4206,3038
6,13NOV2022,21/14: 9:12-303,155,22962-51432-303-1,10,10,1,3162,4011,4071,4188,3036,3150,4038,4144,4206,3038
7,13NOV2022,21/15:48: 4-303,199,22962-57444-303-2,10,10,1,3162,4011,4071,4188,3036,3150,4038,4144,4206,3038
8,13NOV2022,21/17:16:57-303,239,22962-62232-303-1,10,10,1,3162,4011,4071,4188,3036,3150,4038,4144,4206,3038
9,13NOV2022,21/18:46:57-303,284,22962-68244-303-2,10,10,1,3162,4011,4071,4188,3036,3150,4038,4144,4206,3038
10,13NOV2022,21/20:10: 2-303,312,22962-73008-303-1,10,10,1,3162,4011,4071,4188,3036,3150,4038,4144,4206,3038
11,13NOV2022,21/21:30:22-303,337,22962-77424-303-14,10,10,1,3162,4011,4071,4188,3036,3150,4038,4144,4206,3038
12,13NOV2022,21/21:37:58-303,344,22962-78762-303-13,10,10,1,3162,4011,4071,4188,3036,3150,4038,4144,4206,3038
13,13NOV2022,21/21:56:25-303,346,22962-79194-303-2,10,10,1,3162,4011,4071,4188,3036,3150,4038,4144,4206,3038
14,13NOV2022,21/23:11:17-303,372,22962-83868-303-1,10,10,1,3162,4011,4071,4188,3036,3150,4038,4144,4206,3038
15,13NOV2022,22962-30762-405-7,431,22962-30762-405-7,10,,,,,,,,,,,,
16,13NOV2022,22962-32634-401-14,445,22962-32634-401-14,10,,,,,,,,,,,,
17,13NOV2022,22962-35046-405-13,463,22962-35046-405-13,10,,,,,,,,,,,,
18,13NOV2022,22962-42006-413-8,80,22962-42006-413-8,10,,,,,,,,,,,,
19,13NOV2022,22962-62232-303-1,240,22962-62232-303-1,10,,,,,,,,,,,,
20,13NOV2022,22962-65754-209-3,267,22962-65754-209-3,8,,,,,,,,,,,,
21,13NOV2022,22962-71382-209-4,304,22962-71382-209-4,8,,,,,,,,,,,,
22,13NOV2022,22962-82242-209-4,363,22962-82242-209-4,8,,,,,,,,,,,,
23,13NOV2022,22962-88302-307-1,395,22962-88302-307-1,10,,,,,,,,,,,,
24,13NOV2022,239/ 7:42:20-321,3,239/ 7:42:20-321,,10,,,,,,,,,,,
25,13NOV2022,239/ 7:58:43-321,412,22962-28842-321-1,10,10,,,,,,,,,,,
26,13NOV2022,239/ 8:12:56-321,4,239/ 8:12:56-321,,10,,,,,,,,,,,
27,13NOV2022,239/ 8:29:34-321,426,22962-30642-321-1,10,10,,,,,,,,,,,
28,13NOV2022,290/ 7: 3:28-501,400,22962-25656-501-11,10,9,1,3134,4105,4047,3027,3092,4102,4123,4164,3099,
29,13NOV2022,290/ 8:14:26-501,419,22962-29670-501-12,10,9,1,3134,4105,4047,3027,3092,4102,4123,4164,3099,
30,13NOV2022,290/ 9:33:19-501,460,22962-34656-501-11,10,9,1,3134,4105,4047,3027,3092,4102,4123,4164,3099,
31,13NOV2022,291/ 7:13: 7-507,401,22962-26070-507-12,10,10,0,328,1521,1886,1854,1692,1762,1605,1652,1732,379
32,13NOV2022,291/ 8:20:44-507,432,22962-31056-507-11,10,10,0,328,1521,1886,1854,1692,1762,1605,1652,1732,379
33,13NOV2022,291/ 9:44:27-507,464,22962-35070-507-12,10,10,0,328,1521,1886,1854,1692,1762,1605,1652,1732,379
34,13NOV2022,291/10:50:50-507,65,22962-40056-507-11,10,10,0,328,1521,1886,1854,1692,1762,1605,1652,1732,379
35,13NOV2022,291/12:14: 8-507,97,22962-44070-507-12,10,10,0,328,1521,1886,1854,1692,1762,1605,1652,1732,379
36,13NOV2022,291/13:33:58-507,135,22962-49056-507-11,10,10,0,328,1521,1886,1854,1692,1762,1605,1652,1732,379
