Id,RevDate,RunKey,PrevRunKey,PrevTrain,SchedTrain,ActTrain,Route,SchedOrigin,SchedDest,ActOrigin,ActDest,StartTime,EndTime,StartLoc,EndLoc,DelaySec,DelayCode,EOLDelay,PassDelay,NumPassDelayed,DelayGroup
1,13NOV2022,430,,,405,405,7,40,47,40,25,32283,32283,19,19,,8,,,80,
2,13NOV2022,430,,,405,405,7,40,47,40,25,32614,32614,25,25,61,10,,,80,
3,13NOV2022,445,,,401,,14,48,47,,,32634,32634,48,48,,11,,,,
4,13NOV2022,438,,,305,305,1,14,48,14,48,33483,33483,19,19,,8,83,,168,
5,13NOV2022,463,,,405,,13,47,48,,,35046,35046,47,47,,11,,,,
6,13NOV2022,78,,,413,400,14,48,47,48,47,42408,42408,48,48,774,4,814,1.935,9,1
7,13NOV2022,12,,,413,413,8,47,40,48,40,42344,42663,48,46,405,1,471,3.40833333333333,30,1
8,13NOV2022,70,467,205,205,205,3,43,40,43,40,46113,46113,39,39,1021,2,1121,24.2533333333333,6,
9,13NOV2022,145,103,101,101,101,5,43,34,43,34,51912,52546,8,7,340,1,253,4.37,46,
10,13NOV2022,196,156,211,211,211,3,43,40,43,40,58442,59045,7,6,363,1,376,3.6,36,2
11,13NOV2022,187,146,107,107,107,5,43,34,43,34,57745,58219,7,6,340,6,285,,0.0658333333333333,2
12,13NOV2022,192,,,403,403,8,47,40,47,40,58695,58695,27,27,426,2,405,24.2533333333333,204,
13,13NOV2022,195,163,501,501,501,12,34,24,34,24,59567,60925,5,24,393,6,451,,0.00916666666666667,
14,13NOV2022,210,170,201,201,201,3,43,40,43,40,60519,60957,7,6,415,6,584,,0.01,
15,13NOV2022,239,,,303,303,1,14,48,13,48,62363,62363,13,13,,9,213,,17,
16,13NOV2022,245,202,103,103,103,5,43,34,43,34,63470,63470,43,43,350,4,379,2.72222222222222,28,3
17,13NOV2022,238,198,205,205,205,3,43,40,43,40,63182,63182,43,43,1028,4,1187,6.85333333333333,24,3
18,13NOV2022,220,,,407,407,8,47,40,47,40,63350,63350,36,36,,8,53,,77,
19,13NOV2022,242,197,309,309,309,2,48,14,48,14,63565,63565,48,48,721,4,1151,14.2197222222222,71,
20,13NOV2022,267,,,209,,3,43,40,,,65754,65754,43,43,,11,,,,
21,13NOV2022,234,232,411,411,411,8,47,40,47,40,65575,66021,38,39,394,6,381,,0.00222222222222222,
22,13NOV2022,255,210,201,201,201,4,40,43,40,43,66637,66637,2,2,440,2,739,24.2533333333333,62,
23,13NOV2022,273,230,107,107,107,5,43,34,43,34,67185,67185,43,43,465,4,261,2.84166666666667,22,
24,13NOV2022,282,242,309,309,309,1,14,48,14,48,68266,68266,14,14,544,5,270,2.26666666666667,15,
25,13NOV2022,268,227,307,307,307,1,14,48,14,48,68924,69555,31,32,463,1,570,9.53777777777778,74,
26,13NOV2022,255,210,201,201,201,4,40,43,40,43,69605,69605,42,42,483,2,739,24.2533333333333,12,
27,13NOV2022,291,255,201,201,201,3,43,40,43,40,69951,69951,43,43,597,5,367,3.81416666666667,23,
28,13NOV2022,304,,,209,,4,40,43,,,71382,71382,40,40,,11,,,,
29,13NOV2022,302,,,203,203,3,43,40,43,40,71643,71643,43,43,393,4,191,1.31,12,
30,13NOV2022,307,,,411,411,8,48,47,48,47,72340,72340,48,48,400,4,496,0.444444444444444,4,
31,13NOV2022,311,,,413,413,13,47,48,47,48,73390,73390,47,47,526,4,487,0.730555555555556,5,
32,13NOV2022,347,325,505,505,505,12,34,24,34,24,81424,81424,1,1,379,2,606,24.2533333333333,62,
33,13NOV2022,363,,,209,,4,40,43,,,82242,82242,40,40,,11,,,,
34,13NOV2022,351,323,201,201,201,3,43,40,43,40,82353,82893,6,5,442,6,413,,0.00194444444444444,
35,13NOV2022,381,356,305,305,305,1,14,48,14,48,86136,86136,13,13,362,2,257,24.2533333333333,2,
36,13NOV2022,393,372,303,303,303,14,48,47,48,47,88284,88284,48,48,138,11,107,,,
37,13NOV2022,383,351,201,201,201,4,40,43,40,43,89944,89944,9,9,298,2,298,24.2533333333333,7,
38,13NOV2022,394,366,307,307,307,1,14,48,14,19,90054,90054,21,21,378,2,,24.2533333333333,6,4
39,13NOV2022,382,353,207,207,207,3,43,40,43,40,90013,90013,21,21,341,2,312,24.2533333333333,22,4
40,13NOV2022,386,384,311,311,311,2,48,14,48,14,89978,89978,21,21,318,2,432,24.2533333333333,3,4
41,13NOV2022,392,361,203,203,203,4,40,43,40,43,90569,90569,20,20,301,3,932,0.393055555555556,9,5
42,13NOV2022,392,361,203,203,203,4,40,43,40,43,90070,90070,21,21,343,2,932,24.2533333333333,4,5
43,13NOV2022,394,366,307,307,307,1,14,48,14,19,90285,90285,19,19,,10,,,7,
44,13NOV2022,397,381,305,305,305,14,48,47,48,47,90628,90628,48,48,544,4,506,0.906666666666667,6,
45,13NOV2022,391,373,505,505,505,12,34,24,34,24,91851,91851,5,5,636,2,892,24.2533333333333,1,
46,13NOV2022,392,361,203,203,203,4,40,43,40,43,93196,93196,9,9,285,2,932,24.2533333333333,3,
