Id,RevDate,RunKey,Route,SDispatch,SchedTrain,ActOrigin,ActDest,SchedOrigin,SchedDest,EOLDelay,TotalDelay,DelayCount,DelayCodes,PassDelay,PDelay,Locs,Exits,HPOT,LPOT,UPOT
1,13NOV2022,1,340,"",,W40,Y10,,,,,,"",,,,,,,
2,13NOV2022,2,190,"",,A80,S50,,,,,,"",,,,,,,
3,13NOV2022,3,770,"",,C80,C88,,,,,,"",,,,,,,
4,13NOV2022,4,770,"",,C60,C88,,,,,,"",,,,,,,
5,13NOV2022,5,430,"",,Y10,W40,,,,,,"",,,,,,,
6,13NOV2022,6,340,"",,W40,Y10,,,,,,"",,,,,,,
7,13NOV2022,7,190,"",,A80,S50,,,,,,"",,,,,,,
8,13NOV2022,8,260,"",,M10,R60,,,,,,"",,,,,,,
9,13NOV2022,9,910,"",,S50,A80,,,,,,"",,,,,,,
10,13NOV2022,10,630,"",,R60,W40,,,,,,"",,,,,,,
11,13NOV2022,11,340,"",,W40,Y10,,,,,,"",,,,,,,
12,13NOV2022,12,8,"",,Y10,R60,,,471,405,1,LR,60,3.40833333333333,W30,308,224,179,164
13,13NOV2022,13,190,"",,A80,S50,,,,,,"",,,,,,,
14,13NOV2022,14,190,"",,A80,S50,,,,,,"",,,,,,,
15,13NOV2022,15,910,"",,S20,A80,,,,,,"",,,,,,,
16,13NOV2022,16,910,"",,S50,A80,,,,,,"",,,,,,,
17,13NOV2022,17,610,"",,R60,A70,,,,,,"",,,,,,,
18,13NOV2022,18,160,"",,A70,R60,,,,,,"",,,,,,,
19,13NOV2022,19,430,"",,Y10,W40,,,,,,"",,,,,,,
20,13NOV2022,20,910,"",,S50,A80,,,,,,"",,,,,,,
21,13NOV2022,21,690,"",,R60,S50,,,,,,"",,,,,,,
22,13NOV2022,22,910,"",,S50,A80,,,,,,"",,,,,,,
23,13NOV2022,23,910,"",,S50,A80,,,,,,"",,,,,,,
24,13NOV2022,24,190,"",,A80,S50,,,,,,"",,,,,,,
25,13NOV2022,25,910,"",,S50,A80,,,,,,"",,,,,,,
26,13NOV2022,26,770,"",,C88,C60,,,,,,"",,,,,,,
27,13NOV2022,27,770,"",,C88,C60,,,,,,"",,,,,,,
28,13NOV2022,28,770,"",,C88,C60,,,,,,"",,,,,,,
29,13NOV2022,29,540,"",,K10,Y10,,,,,,"",,,,,,,
30,13NOV2022,30,770,"",,C88,C60,,,,,,"",,,,,,,
31,13NOV2022,31,770,"",,C88,C60,,,,,,"",,,,,,,
32,13NOV2022,32,1,10:00,323,C88,C60,18,15,-11,,,"",,,"",11,,,
33,13NOV2022,33,5,10:02,109,S50,M90,43,34,44,,,"",,,"",205,1,4,3
34,13NOV2022,34,6,10:02,103,M90,S50,34,43,44,,,"",,,"",161,2,6,2
35,13NOV2022,35,7,10:02,413,R60,W40,40,47,114,,,"",,,"",281,,10,
36,13NOV2022,36,14,10:03,405,Y10,W40,48,47,11,,,"",,,"",12,,1,
37,13NOV2022,37,11,10:07,503,L30,M90,24,34,35,,,"",,,"",180,,9,
38,13NOV2022,38,8,10:10,405,W40,R60,47,40,69,,,"",,,"",245,16,24,12
39,13NOV2022,39,2,10:11,321,C60,C88,15,18,-16,,,"",,,"",,,,
40,13NOV2022,40,13,10:14,407,W40,Y10,47,48,-10,,,"",,,"",2,,,
41,13NOV2022,41,12,10:14,509,M90,L30,34,24,134,,,"",,,"",118,,9,1
42,13NOV2022,42,3,10:15,201,S50,R60,43,40,60,,,"",,,"",145,,6,1
43,13NOV2022,43,1,10:17,311,C50,Y10,14,48,62,,,"",,,"",372,6,8,11
44,13NOV2022,44,4,10:19,207,R60,S50,40,43,-28,,,"",,,"",150,,4,2
45,13NOV2022,45,2,10:27,305,Y10,C50,48,14,188,,,"",,,"",335,3,7,4
46,13NOV2022,46,1,10:30,321,C88,C60,18,15,36,,,"",,,"",6,,,
47,13NOV2022,47,5,10:32,111,S50,M90,43,34,45,,,"",,,"",214,2,5,4
48,13NOV2022,48,6,10:32,105,M90,S50,34,43,5,,,"",,,"",190,2,7,1
49,13NOV2022,49,7,10:32,401,R60,W40,40,47,57,,,"",,,"",266,,8,
50,13NOV2022,50,14,10:33,407,Y10,W40,48,47,11,,,"",,,"",11,,,
51,13NOV2022,51,11,10:37,505,L30,M90,24,34,166,,,"",,,"",215,,2,
52,13NOV2022,52,8,10:40,407,W40,R60,47,40,26,,,"",,,"",268,28,13,10
53,13NOV2022,53,2,10:41,323,C60,C88,15,18,-60,,,"",,,"",4,,,
54,13NOV2022,54,13,10:44,411,W40,Y10,47,48,18,,,"",,,"",5,,,
55,13NOV2022,55,12,10:44,501,M90,L30,34,24,124,,,"",,,"",155,1,8,1
56,13NOV2022,56,3,10:45,203,S50,R60,43,40,95,,,"",,,"",138,,1,
57,13NOV2022,57,1,10:47,301,C50,Y10,14,48,79,,,"",,,"",365,3,18,2
58,13NOV2022,58,4,10:49,209,R60,S50,40,43,-13,,,"",,,"",167,,14,1
59,13NOV2022,59,2,10:57,307,Y10,C50,48,14,121,,,"",,,"",284,1,6,
60,13NOV2022,60,1,11:00,323,C88,C60,18,15,11,,,"",,,"",3,,,
61,13NOV2022,61,5,11:02,101,S50,M90,43,34,39,,,"",,,"",149,,4,5
62,13NOV2022,62,6,11:02,107,M90,S50,34,43,-6,,,"",,,"",185,3,7,2
63,13NOV2022,63,7,11:02,403,R60,W40,40,47,78,,,"",,,"",291,,10,1
64,13NOV2022,64,14,11:03,411,Y10,W40,48,47,,,,"",,,"",15,,,
65,13NOV2022,65,11,11:07,507,L30,M90,24,34,32,,,"",,,"",257,,8,
66,13NOV2022,66,8,11:10,411,W40,R60,47,40,37,,,"",,,"",234,12,10,6
67,13NOV2022,67,2,11:11,321,C60,C88,15,18,-51,,,"",,,"",3,,,
68,13NOV2022,68,13,11:14,413,W40,Y10,47,48,-3,,,"",,,"",4,,,
69,13NOV2022,69,12,11:14,503,M90,L30,34,24,106,,,"",,,"",109,1,7,2
70,13NOV2022,70,3,11:15,205,S50,R60,43,40,1121,1021,1,DH,6,24.2533333333333,R50,147,,17,9
71,13NOV2022,71,1,11:17,303,C50,Y10,14,48,68,,,"",,,"",441,2,13,5
72,13NOV2022,72,4,11:19,211,R60,S50,40,43,-9,,,"",,,"",158,,6,3
73,13NOV2022,73,2,11:27,309,Y10,C50,48,14,205,,,"",,,"",238,1,7,2
74,13NOV2022,74,1,11:30,321,C88,C60,18,15,12,,,"",,,"",7,,,
75,13NOV2022,75,5,11:32,103,S50,M90,43,34,42,,,"",,,"",233,,7,1
76,13NOV2022,76,6,11:32,109,M90,S50,34,43,44,,,"",,,"",204,1,5,
77,13NOV2022,77,7,11:32,405,R60,W40,40,47,80,,,"",,,"",306,,13,6
78,13NOV2022,78,14,11:33,413,Y10,W40,48,47,814,774,1,LD,9,1.935,Y10,9,,5,4
79,13NOV2022,79,11,11:37,509,L30,M90,24,34,38,,,"",,,"",218,,2,
80,13NOV2022,80,,,,,,,,,,,,,,,,,,
81,13NOV2022,81,2,11:41,323,C60,C88,15,18,-33,,,"",,,"",8,,,
82,13NOV2022,82,13,11:44,401,W40,Y10,47,48,109,,,"",,,"",6,,,
83,13NOV2022,83,12,11:44,505,M90,L30,34,24,145,,,"",,,"",140,,6,1
84,13NOV2022,84,3,11:45,207,S50,R60,43,40,474,,,"",,,"",171,72,85,80
85,13NOV2022,85,1,11:47,305,C50,Y10,14,48,58,,,"",,,"",462,5,11,8
86,13NOV2022,86,4,11:49,201,R60,S50,40,43,25,,,"",,,"",150,,5,1
87,13NOV2022,87,2,11:57,311,Y10,C50,48,14,175,,,"",,,"",311,,39,29
88,13NOV2022,88,1,12:00,323,C88,C60,18,15,10,,,"",,,"",7,,,
89,13NOV2022,89,6,12:02,111,M90,S50,34,43,2,,,"",,,"",169,,31,16
90,13NOV2022,90,5,12:02,105,S50,M90,43,34,45,,,"",,,"",188,1,8,4
91,13NOV2022,91,7,12:02,407,R60,W40,40,47,87,,,"",,,"",301,,11,3
92,13NOV2022,92,14,12:03,401,Y10,W40,48,47,13,,,"",,,"",19,,2,2
93,13NOV2022,93,11,12:07,501,L30,M90,24,34,34,,,"",,,"",206,,6,
94,13NOV2022,94,8,12:10,401,W40,R60,47,40,21,,,"",,,"",315,23,23,18
95,13NOV2022,95,2,12:11,321,C60,C88,15,18,-52,,,"",,,"",2,,,
96,13NOV2022,96,13,12:14,403,W40,Y10,47,48,-7,,,"",,,"",1,,,
97,13NOV2022,97,12,12:14,507,M90,L30,34,24,118,,,"",,,"",130,,10,3
98,13NOV2022,98,3,12:15,209,S50,R60,43,40,63,,,"",,,"",157,,5,
99,13NOV2022,99,1,12:17,307,C50,Y10,14,48,44,,,"",,,"",417,5,8,3
100,13NOV2022,100,4,12:19,203,R60,S50,40,43,33,,,"",,,"",193,,11,3
101,13NOV2022,101,2,12:27,301,Y10,C50,48,14,107,,,"",,,"",303,1,7,1
102,13NOV2022,102,1,12:30,321,C88,C60,18,15,16,,,"",,,"",3,,,
103,13NOV2022,103,6,12:32,101,M90,S50,34,43,9,,,"",,,"",205,1,6,3
104,13NOV2022,104,5,12:32,107,S50,M90,43,34,54,,,"",,,"",234,1,2,4
105,13NOV2022,105,7,12:32,411,R60,W40,40,47,88,,,"",,,"",296,,8,2
106,13NOV2022,106,14,12:33,403,Y10,W40,48,47,11,,,"",,,"",14,,1,1
107,13NOV2022,107,11,12:37,503,L30,M90,24,34,12,,,"",,,"",242,,5,
108,13NOV2022,108,8,12:40,403,W40,R60,47,40,131,,,"",,,"",331,18,8,5
109,13NOV2022,109,2,12:41,323,C60,C88,15,18,-60,,,"",,,"",4,,1,
110,13NOV2022,110,13,12:44,405,W40,Y10,47,48,72,,,"",,,"",6,,,
111,13NOV2022,111,12,12:44,509,M90,L30,34,24,105,,,"",,,"",107,1,5,1
112,13NOV2022,112,3,12:45,211,S50,R60,43,40,61,,,"",,,"",144,,4,5
113,13NOV2022,113,1,12:47,309,C50,Y10,14,48,114,,,"",,,"",408,4,11,6
114,13NOV2022,114,4,12:49,205,R60,S50,40,43,12,,,"",,,"",175,,3,1
115,13NOV2022,115,2,12:57,303,Y10,C50,48,14,137,,,"",,,"",346,3,6,2
116,13NOV2022,116,1,13:00,323,C88,C60,18,15,12,,,"",,,"",9,,,
117,13NOV2022,117,6,13:02,103,M90,S50,34,43,268,,,"",,,"",200,2,15,2
118,13NOV2022,118,5,13:02,109,S50,M90,43,34,54,,,"",,,"",187,3,5,3
119,13NOV2022,119,7,13:02,413,R60,W40,40,47,107,,,"",,,"",320,,12,
120,13NOV2022,120,14,13:03,405,Y10,W40,48,47,20,,,"",,,"",14,,1,1
121,13NOV2022,121,11,13:07,505,L30,M90,24,34,26,,,"",,,"",232,,8,
122,13NOV2022,122,8,13:10,405,W40,R60,47,40,13,,,"",,,"",279,12,18,12
123,13NOV2022,123,2,13:11,321,C60,C88,15,18,-55,,,"",,,"",7,,,
124,13NOV2022,124,13,13:14,407,W40,Y10,47,48,-12,,,"",,,"",1,,,
125,13NOV2022,125,12,13:14,501,M90,L30,34,24,96,,,"",,,"",119,1,4,
126,13NOV2022,126,3,13:15,201,S50,R60,43,40,92,,,"",,,"",160,,9,6
127,13NOV2022,127,1,13:17,311,C50,Y10,14,48,123,,,"",,,"",327,4,7,1
128,13NOV2022,128,4,13:19,207,R60,S50,40,43,7,,,"",,,"",160,,10,
129,13NOV2022,129,2,13:27,305,Y10,C50,48,14,135,,,"",,,"",291,2,8,2
130,13NOV2022,130,1,13:30,321,C88,C60,18,15,-4,,,"",,,"",6,,,
131,13NOV2022,131,5,13:32,111,S50,M90,43,34,142,,,"",,,"",228,3,13,3
132,13NOV2022,132,6,13:32,105,M90,S50,34,43,81,,,"",,,"",254,,3,
133,13NOV2022,133,7,13:32,401,R60,W40,40,47,196,,,"",,,"",275,,17,1
134,13NOV2022,134,14,13:33,407,Y10,W40,48,47,-10,,,"",,,"",10,,1,1
135,13NOV2022,135,11,13:37,507,L30,M90,24,34,-4,,,"",,,"",227,,6,
136,13NOV2022,136,8,13:40,407,W40,R60,47,40,15,,,"",,,"",272,28,22,14
137,13NOV2022,137,2,13:41,323,C60,C88,15,18,-74,,,"",,,"",2,,,
138,13NOV2022,138,13,13:44,411,W40,Y10,47,48,-12,,,"",,,"",9,,,
139,13NOV2022,139,12,13:44,503,M90,L30,34,24,127,,,"",,,"",122,,7,1
140,13NOV2022,140,3,13:45,203,S50,R60,43,40,73,,,"",,,"",179,,7,4
141,13NOV2022,141,1,13:47,301,C50,Y10,14,48,111,,,"",,,"",355,4,7,1
142,13NOV2022,142,4,13:49,209,R60,S50,40,43,209,,,"",,,"",169,,9,8
143,13NOV2022,143,2,13:57,307,Y10,C50,48,14,139,,,"",,,"",301,1,7,2
144,13NOV2022,144,1,14:00,323,C88,C60,18,15,14,,,"",,,"",8,,,
145,13NOV2022,145,5,14:02,101,S50,M90,43,34,253,340,1,LR,46,4.37,A70,151,15,47,39
146,13NOV2022,146,6,14:02,107,M90,S50,34,43,96,,,"",,,"",212,2,11,
147,13NOV2022,147,7,14:02,403,R60,W40,40,47,63,,,"",,,"",274,,11,1
148,13NOV2022,148,14,14:03,411,Y10,W40,48,47,8,,,"",,,"",9,,,
149,13NOV2022,149,11,14:07,509,L30,M90,24,34,5,,,"",,,"",215,,2,
150,13NOV2022,150,8,14:10,411,W40,R60,47,40,238,,,"",,,"",276,6,9,4
151,13NOV2022,151,2,14:11,321,C60,C88,15,18,-1,,,"",,,"",3,,,
152,13NOV2022,152,13,14:14,413,W40,Y10,47,48,,,,"",,,"",3,,,
153,13NOV2022,153,12,14:14,505,M90,L30,34,24,143,,,"",,,"",129,1,10,
154,13NOV2022,154,3,14:15,205,S50,R60,43,40,362,,,"",,,"",219,,25,21
155,13NOV2022,155,1,14:17,303,C50,Y10,14,48,213,,,"",,,"",303,4,9,5
156,13NOV2022,156,4,14:19,211,R60,S50,40,43,75,,,"",,,"",191,,6,4
157,13NOV2022,157,2,14:27,309,Y10,C50,48,14,114,,,"",,,"",370,2,10,2
158,13NOV2022,158,1,14:30,321,C88,C60,18,15,2,,,"",,,"",4,,,
159,13NOV2022,159,6,14:32,109,M90,S50,34,43,116,,,"",,,"",227,1,6,1
160,13NOV2022,160,5,14:32,103,S50,M90,43,34,26,,,"",,,"",223,7,14,6
161,13NOV2022,161,7,14:32,405,R60,W40,40,47,89,,,"",,,"",372,,12,2
162,13NOV2022,162,14,14:33,413,Y10,W40,48,47,65,,,"",,,"",10,,,
163,13NOV2022,163,11,14:37,501,L30,M90,24,34,8,,,"",,,"",206,,2,1
164,13NOV2022,164,8,14:40,413,W40,R60,47,40,121,,,"",,,"",293,9,8,5
165,13NOV2022,165,2,14:41,323,C60,C88,15,18,-31,,,"",,,"",3,,,
166,13NOV2022,166,13,14:44,401,W40,Y10,47,48,66,,,"",,,"",3,,,
167,13NOV2022,167,12,14:44,507,M90,L30,34,24,151,,,"",,,"",158,,32,17
168,13NOV2022,168,3,14:45,207,S50,R60,43,40,123,,,"",,,"",165,,2,1
169,13NOV2022,169,1,14:47,305,C50,Y10,14,48,126,,,"",,,"",277,4,7,4
170,13NOV2022,170,4,14:49,201,R60,S50,40,43,2,,,"",,,"",169,,14,
171,13NOV2022,171,2,14:57,311,Y10,C50,48,14,122,,,"",,,"",348,,4,4
