RevDate,RK,RUNKEY,Exits,HPOT,LPOT,UPOT,Id
14SEP2022,1,288/ 3: 0: 6-953,,,,,21
14SEP2022,2,285/ 3: 2:54-952,,,,,19
14SEP2022,3,290/ 3: 6: 3-954,,,,,22
14SEP2022,4,284/ 3: 4: 5-951,,,,,18
14SEP2022,5,343/ 3:20:39-953,,,,,24
14SEP2022,6,285/ 3:23:31-952,,,,,20
14SEP2022,7,290/ 3:50: 2-954,,,,,23
14SEP2022,8,343/ 3:54:37-953,,,,,25
14SEP2022,9,353/ 4:37:20-317,,,,,26
14SEP2022,10,368/ 4:44:25-305,,,,,102
14SEP2022,11,353/ 4:45:58-315,36,14,15,9,28
14SEP2022,12,364/ 4:46:10-109,,,,,80
14SEP2022,13,369/ 4:48:52-111,,,,,113
14SEP2022,14,379/ 4:53:45-203,,,,,175
14SEP2022,15,388/ 4:57:56-307,,,,,221
14SEP2022,16,399/ 5: 9:35-309,,,,,268
14SEP2022,17,412/ 5:25:15-311,,,,,322
14SEP2022,18,418/ 5:31:21-918,,,,,354
14SEP2022,19,415/ 5:25:57-323,,,,,346
14SEP2022,20,481/ 9: 3: 2-325,,,,,521
14SEP2022,21,486/ 9:24:60-959,,,,,545
14SEP2022,22,375/ 9:33:35-715,,,,,171
14SEP2022,23,486/ 9:42:31-959,,,,,546
14SEP2022,24,502/10: 1: 2-918,,,,,559
14SEP2022,25,415/10:30:47-723,,,,,350
14SEP2022,26,523/10:49:38-959,,,,,591
14SEP2022,27,524/10:52:57-918,,,,,594
14SEP2022,28,523/11: 3:47-959,,,,,592
14SEP2022,29,528/11:10:18-955,,,,,609
14SEP2022,30,555/13:12:17-321,,,,,675
14SEP2022,31,554/13:14:42-957,,,,,673
14SEP2022,32,406/13:36: 6-721,,,,,311
14SEP2022,33,563/13:44: 3-709,,,,,699
14SEP2022,34,564/13:49:11-950,,,,,700
14SEP2022,35,565/13:52:23-960,,,,,702
14SEP2022,36,564/14: 5:21-950,,,,,701
14SEP2022,37,565/14:14:21-960,,,,,703
14SEP2022,38,572/14:25: 3-954,,,,,716
14SEP2022,39,388/15: 0:59-707,,,,,228
14SEP2022,40,586/15:26:56-123,,,,,739
14SEP2022,41,589/15:31:46-918,,,,,745
