RevDate,RK,RUNKEY,Exits,HPOT,LPOT,UPOT,Id
15NOV2022,1,12/ 3: 3:56-963,,,,,107
15NOV2022,2,11/ 3: 7:57-961,,,,,73
15NOV2022,3,78/ 4:38:21-109,,,,,716
15NOV2022,4,81/ 4:43:13-305,,,,,745
15NOV2022,5,82/ 4:45:37-111,,,,,750
15NOV2022,6,90/ 4:52:32-203,,,,,789
15NOV2022,7,95/ 4:52:55-315,65,21,41,41,826
15NOV2022,8,99/ 4:59:25-307,,,,,857
15NOV2022,9,110/ 5:13:20-309,,,,,74
15NOV2022,10,124/ 5:27: 5-311,,,,,134
15NOV2022,11,125/ 5:29:28-918,,,,,149
15NOV2022,12,96/ 6:48:12-958,,,,,837
15NOV2022,13,180/ 7:17:29-313,,,,,279
15NOV2022,14,188/ 7:46: 1-109,,,,,304
15NOV2022,15,177/ 8:41:21-419,,,,,275
15NOV2022,16,182/ 9: 8:26-213,,,,,297
15NOV2022,17,247/11:45:29-977,,,,,460
15NOV2022,18,225/12:18:19-915,,,,,384
15NOV2022,19,92/13:32: 7-105,,,,,805
15NOV2022,20,292/13:42:18-205,,,,,507
15NOV2022,21,188/14: 0: 2-109,,,,,309
15NOV2022,22,247/14: 1:33-977,,,,,461
15NOV2022,23,270/14:21: 1-605,,,,,486
15NOV2022,24,99/15: 9:36-707,,,,,864
15NOV2022,25,322/15:38: 7-200,,,,,568
15NOV2022,26,326/15:57:54-319,,,,,575
15NOV2022,27,331/16: 5:31-500,,,,,585
15NOV2022,28,104/16:30:52-719,,,,,30
15NOV2022,29,343/17: 6:18-918,,,,,609
15NOV2022,30,110/18:24:38-709,,,,,83
15NOV2022,31,342/18:32:44-617,,,,,608
15NOV2022,32,108/18:48: 3-123,,,,,58
15NOV2022,33,375/19: 9:22-317,,,,,658
15NOV2022,34,71/18:57:50-101,,,,,715
15NOV2022,35,80/19:14:20-103,,,,,744
15NOV2022,36,95/19:26: 6-717,,,,,835
15NOV2022,37,382/19:34: 7-961,,,,,667
15NOV2022,38,387/19:39:59-963,,,,,670
15NOV2022,39,14/19:47: 3-107,,,,,204
15NOV2022,40,393/20: 2:10-325,,,,,675
15NOV2022,41,343/20: 3:50-309,,,,,611
15NOV2022,42,121/20:13:11-323,,,,,118
15NOV2022,43,140/20:33:12-725,,,,,215
15NOV2022,44,372/20:35:21-209,,,,,656
15NOV2022,45,253/20:41:26-301,,,,,468
15NOV2022,46,109/20:45: 3-115,,,,,70
15NOV2022,47,145/20:46:38-315,,,,,239
15NOV2022,48,384/21: 4:26-213,,,,,669
15NOV2022,49,406/21:22: 5-963,,,,,683
15NOV2022,50,407/21:29: 6-961,,,,,684
15NOV2022,51,109/22:19: 3-115,,,,,71
15NOV2022,52,109/22:39:37-115,,,,,72
15NOV2022,53,427/23:24:40-100,,,,,703
15NOV2022,54,934/23:41:58-721,,,,,824
15NOV2022,55,427/ 0: 7:15-100,,,,,702
15NOV2022,56,420/ 0:19: 8-215,,,,,699
15NOV2022,57,180/ 0:20:33-313,,,,,278
15NOV2022,58,87/ 0:36:48-303,,,,,771
15NOV2022,59,79/ 0:58:40-307,,,,,719
15NOV2022,60,124/ 1:34:59-311,,,,,133
15NOV2022,61,393/ 2: 4:24-325,,,,,674
15NOV2022,62,82/ 9:53:39-113,119,0,15,5,754
15NOV2022,63,104/ 9:56:39-319,452,76,113,87,26
15NOV2022,64,196/10: 2:12-221,135,22,24,19,336
15NOV2022,65,22964-36216-405-8,,,,,404
15NOV2022,66,222/10: 2:25-209,70,0,4,0,379
15NOV2022,67,71/10: 3:41-101,138,0,1,0,709
15NOV2022,68,102/10: 8: 9-513,93,0,29,17,9
15NOV2022,69,202/10:11: 8-409,1,,0,0,344
15NOV2022,70,198/10: 5:11-407,2,,3,3,339
15NOV2022,71,99/10: 5:14-307,219,36,38,33,861
15NOV2022,72,22964-36744-307-2,,,,,405
15NOV2022,73,22964-36804-419-7,,,,,406
15NOV2022,74,105/10: 6: 7-503,69,0,4,4,35
15NOV2022,75,109/10:14:58-115,119,0,3,0,63
15NOV2022,76,934/10:10:58-321,304,0,12,5,814
15NOV2022,77,200/10:16:14-223,108,0,5,2,342
15NOV2022,78,198/10:16:40-407,225,24,27,21,340
15NOV2022,79,80/10:17:12-103,107,0,7,1,738
15NOV2022,80,224/10:19:48-211,87,26,22,17,381
15NOV2022,81,225/10:16:58-515,108,0,10,1,383
15NOV2022,82,204/10:24:54-411,4,,0,0,350
15NOV2022,83,202/10:26: 7-409,1,,1,1,345
15NOV2022,84,110/10:27: 3-309,153,0,6,2,78
15NOV2022,85,228/10:25:14-421,200,47,25,24,385
15NOV2022,86,117/10:19:52-505,86,0,3,0,92
15NOV2022,87,123/10:36:20-117,115,31,27,24,127
15NOV2022,88,121/10:25:44-323,243,0,10,1,112
15NOV2022,89,203/10:26:53-201,101,0,2,1,348
15NOV2022,90,202/10:31:41-409,130,3,8,8,346
15NOV2022,91,229/10:32: 1-213,107,0,5,0,389
15NOV2022,92,92/10:24:11-105,119,0,7,2,803
