RevDate,RK,SRK,Rt,STrain,Train,SOr,SDe,Or,De,TN,RR,Dir,Loc,LLoc,DO,DC,SDO,SDC,DO1,DC1,SDO1,SDC1,LRD,DD,PLe,Delay,Note,Del,PDO,PDC,EOL,TS,ind,Code
15NOV2022,1,12/ 3: 3:56-963,220,,963,"","",M16,M90,1,1,1,M16,"",03:05,03:05,"","",11100,11100,,,0,0,0,0,"",0,0,0,,16NOV1922:05:26:20.000000,1,""
15NOV2022,1,12/ 3: 3:56-963,220,,963,"","",M16,M90,2,-1,1,M20,M16,03:05,03:05,"","",11130,11130,,,0,0,2,0,"",0,0,0,,16NOV1922:05:26:20.000000,2,""
15NOV2022,1,12/ 3: 3:56-963,220,,963,"","",M16,M90,2,-1,1,M30,M20,03:06,03:06,"","",11183,11183,,,0,0,2,0,"",0,0,0,,16NOV1922:05:26:20.000000,3,""
15NOV2022,1,12/ 3: 3:56-963,220,,963,"","",M16,M90,2,-1,1,M40,M30,03:17,03:17,"","",11861,11861,,,0,0,2,0,"",0,0,0,,16NOV1922:05:26:20.000000,4,""
15NOV2022,1,12/ 3: 3:56-963,220,,963,"","",M16,M90,2,-1,1,M50,M40,03:21,03:21,"","",12063,12063,,,0,0,2,0,"",0,0,0,,16NOV1922:05:26:20.000000,5,""
15NOV2022,1,12/ 3: 3:56-963,220,,963,"","",M16,M90,2,-1,1,M60,M50,03:23,03:23,"","",12229,12229,,,0,0,2,0,"",0,0,0,,16NOV1922:05:26:20.000000,6,""
15NOV2022,1,12/ 3: 3:56-963,220,,963,"","",M16,M90,2,-1,1,M70,M60,03:27,03:27,"","",12455,12455,,,0,0,2,0,"",0,0,0,,16NOV1922:05:26:20.000000,7,""
15NOV2022,1,12/ 3: 3:56-963,220,,963,"","",M16,M90,2,-1,1,M80,M70,03:29,03:29,"","",12558,12558,,,0,0,2,0,"",0,0,0,,16NOV1922:05:26:20.000000,8,""
15NOV2022,1,12/ 3: 3:56-963,220,,963,"","",M16,M90,3,1,1,M90,M80,03:33,03:33,"","",12782,12782,,,0,0,2,0,"",0,0,0,,16NOV1922:05:26:20.000000,9,""
15NOV2022,2,11/ 3: 7:57-961,220,,961,"","",M20,M30,2,-1,1,M20,"",03:09,03:09,"","",11373,11373,,,0,0,2,0,"",0,0,0,,16NOV1922:05:26:20.000000,10,""
15NOV2022,2,11/ 3: 7:57-961,220,,961,"","",M20,M30,2,-1,1,M30,M20,03:10,03:10,"","",11408,11408,,,0,0,2,0,"",0,0,0,,16NOV1922:05:26:20.000000,11,""
15NOV2022,3,78/ 4:38:21-109,190,,109,"","",A80,S50,1,1,1,A80,"",04:38,04:38,"","",16716,16716,,,0,0,2,0,"",0,0,0,,16NOV1922:05:26:20.000000,12,""
15NOV2022,3,78/ 4:38:21-109,190,,109,"","",A80,S50,1,1,1,A90,A80,04:42,04:42,"","",16927,16927,,,0,0,2,0,"",0,0,0,,16NOV1922:05:26:20.000000,13,""
15NOV2022,3,78/ 4:38:21-109,190,,109,"","",A80,S50,1,1,1,S20,A90,04:47,04:47,"","",17234,17234,,,0,0,2,0,"",0,0,0,,16NOV1922:05:26:20.000000,14,""
15NOV2022,3,78/ 4:38:21-109,190,,109,"","",A80,S50,1,1,1,S40,S20,04:54,04:54,"","",17652,17652,,,0,0,0,0,"",0,0,0,,16NOV1922:05:26:20.000000,15,""
15NOV2022,3,78/ 4:38:21-109,190,,109,"","",A80,S50,1,1,1,S50,S40,04:57,04:57,"","",17876,17876,,,0,0,2,0,"",0,0,0,,16NOV1922:05:26:20.000000,16,""
15NOV2022,4,81/ 4:43:13-305,770,,305,"","",C60,C88,1,1,1,C60,"",04:43,04:43,"","",17011,17011,,,0,0,4,0,"",0,0,0,,16NOV1922:05:26:20.000000,17,""
15NOV2022,4,81/ 4:43:13-305,770,,305,"","",C60,C88,1,1,1,C70,C60,04:46,04:46,"","",17187,17187,,,0,0,0,0,"",0,0,0,,16NOV1922:05:26:20.000000,18,""
15NOV2022,4,81/ 4:43:13-305,770,,305,"","",C60,C88,1,1,1,C80,C70,04:55,04:55,"","",17722,17722,,,0,0,6,0,"",0,0,0,,16NOV1922:05:26:20.000000,19,""
15NOV2022,4,81/ 4:43:13-305,770,,305,"","",C60,C88,2,-1,1,C88,C80,04:57,04:57,"","",17838,17838,,,0,0,6,0,"",0,0,0,,16NOV1922:05:26:20.000000,20,""
15NOV2022,5,82/ 4:45:37-111,190,,111,"","",A80,S50,1,1,1,A80,"",04:45,04:45,"","",17151,17151,,,0,0,6,0,"",0,0,0,,16NOV1922:05:26:20.000000,21,""
15NOV2022,5,82/ 4:45:37-111,190,,111,"","",A80,S50,1,1,1,A90,A80,04:51,04:51,"","",17468,17468,,,0,0,6,0,"",0,0,0,,16NOV1922:05:26:20.000000,22,""
15NOV2022,5,82/ 4:45:37-111,190,,111,"","",A80,S50,1,1,1,S20,A90,04:56,04:56,"","",17779,17779,,,0,0,2,0,"",0,0,0,,16NOV1922:05:26:20.000000,23,""
15NOV2022,5,82/ 4:45:37-111,190,,111,"","",A80,S50,1,1,1,S40,S20,05:03,05:03,"","",18212,18212,,,0,0,0,0,"",0,0,0,,16NOV1922:05:26:20.000000,24,""
15NOV2022,5,82/ 4:45:37-111,190,,111,"","",A80,S50,1,1,1,S50,S40,05:09,05:09,"","",18572,18572,,,0,0,2,0,"",0,0,0,,16NOV1922:05:26:20.000000,25,""
15NOV2022,6,90/ 4:52:32-203,110,,203,"","",A80,A90,1,1,1,A80,"",04:52,04:52,"","",17557,17557,,,0,0,0,0,"",0,0,0,,16NOV1922:05:26:20.000000,26,""
15NOV2022,6,90/ 4:52:32-203,110,,203,"","",A80,A90,2,-1,1,A90,A80,05:00,05:00,"","",18050,18050,,,0,0,4,0,"",0,0,0,,16NOV1922:05:26:20.000000,27,""
15NOV2022,8,99/ 4:59:25-307,770,,307,"","",C60,C88,1,1,1,C60,"",04:59,04:59,"","",17984,17984,,,0,0,4,0,"",0,0,0,,16NOV1922:05:26:20.000000,54,""
15NOV2022,8,99/ 4:59:25-307,770,,307,"","",C60,C88,1,1,1,C70,C60,05:02,05:02,"","",18158,18158,,,0,0,0,0,"",0,0,0,,16NOV1922:05:26:20.000000,55,""
