Id,RevDate,RunKey,Route,SDispatch,SchedTrain,ActOrigin,ActDest,SchedOrigin,SchedDest,EOLDelay,TotalDelay,DelayCount,DelayCodes,PassDelay,PDelay,Locs,Exits,HPOT,LPOT,UPOT
1,15NOV2022,1,220,,,26,34,,,,,,,,,,,,,
2,15NOV2022,2,220,,,27,28,,,,,,,,,,,,,
3,15NOV2022,3,190,,,8,43,,,,,,,,,,,,,
4,15NOV2022,4,770,,,15,18,,,,,,,,,,,,,
5,15NOV2022,5,190,,,8,43,,,,,,,,,,,,,
6,15NOV2022,6,110,,,8,9,,,,,,,,,,,,,
7,15NOV2022,7,2,04:56,315,48,18,34,18,772,782,1,LR,,,M90,65,21,41,41
8,15NOV2022,8,770,,,15,18,,,,,,,,,,,,,
9,15NOV2022,9,770,,,15,18,,,,,,,,,,,,,
10,15NOV2022,10,770,,,15,17,,,,,,,,,,,,,
11,15NOV2022,11,770,,,15,16,,,,,,,,,,,,,
12,15NOV2022,12,770,,,17,18,,,,,,,,,,,,,
13,15NOV2022,13,340,,,45,48,,,,,,,,,,,,,
14,15NOV2022,14,190,,,8,42,,,,,,,,,,,,,
15,15NOV2022,15,460,,,48,40,,,,,,,,,,,,,
16,15NOV2022,16,960,,,41,40,,,,,,,,,,,,,
17,15NOV2022,17,140,,,7,48,,,,,,,,,,,,,
18,15NOV2022,18,810,,,24,7,,,,,,,,,,,,,
19,15NOV2022,19,910,,,42,8,,,,,,,,,,,,,
20,15NOV2022,20,190,,,8,43,,,,,,,,,,,,,
21,15NOV2022,21,910,,,43,8,,,,,,,,,,,,,
22,15NOV2022,22,310,,,46,7,,,,,,,,,,,,,
23,15NOV2022,23,910,,,42,8,,,,,,,,,,,,,
24,15NOV2022,24,770,,,18,15,,,,,,,,,,,,,
25,15NOV2022,25,660,,,39,40,,,,,,,,,,,,,
26,15NOV2022,26,770,,,15,18,,,,,,,,,,,,,
27,15NOV2022,27,280,,,34,24,,,,,,,,,,,,,
28,15NOV2022,28,770,,,18,15,,,,,,,,,,,,,
29,15NOV2022,29,770,,,15,17,,,,,,,,,,,,,
30,15NOV2022,30,770,,,18,15,,,,,,,,,,,,,
31,15NOV2022,31,910,,,43,8,,,,,,,,,,,,,
32,15NOV2022,32,910,,,43,8,,,,,,,,,,,,,
33,15NOV2022,33,770,,,15,18,,,,,,,,,,,,,
34,15NOV2022,34,910,,,42,8,,,,,,,,,,,,,
35,15NOV2022,35,910,,,43,8,,,,,,,,,,,,,
36,15NOV2022,36,770,,,18,15,,,,,,,,,,,,,
37,15NOV2022,37,170,,,7,14,,,,,,,,,,,,,
38,15NOV2022,38,170,,,7,14,,,,,,,,,,,,,
39,15NOV2022,39,910,,,43,8,,,,,,,,,,,,,
40,15NOV2022,40,770,,,15,18,,,,,,,,,,,,,
41,15NOV2022,41,430,,,48,45,,,,,,,,,,,,,
42,15NOV2022,42,770,,,18,15,,,,,,,,,,,,,
43,15NOV2022,43,770,,,18,15,,,,,,,,,,,,,
44,15NOV2022,44,910,,,43,8,,,,,,,,,,,,,
45,15NOV2022,45,770,,,18,15,,,,,,,,,,,,,
46,15NOV2022,46,950,,,43,21,,,,,,,,,,,,,
47,15NOV2022,47,430,,,48,47,,,,,,,,,,,,,
48,15NOV2022,48,910,,,42,8,,,,,,,,,,,,,
49,15NOV2022,49,710,,,14,7,,,,,,,,,,,,,
50,15NOV2022,50,710,,,14,7,,,,,,,,,,,,,
51,15NOV2022,51,520,,,21,25,,,,,,,,,,,,,
52,15NOV2022,52,110,,,1,7,,,,,,,,,,,,,
53,15NOV2022,53,150,,,7,19,,,,,,,,,,,,,
54,15NOV2022,54,770,,,18,15,,,,,,,,,,,,,
55,15NOV2022,55,510,,,19,7,,,,,,,,,,,,,
56,15NOV2022,56,910,,,43,8,,,,,,,,,,,,,
57,15NOV2022,57,430,,,48,47,,,,,,,,,,,,,
58,15NOV2022,58,770,,,18,15,,,,,,,,,,,,,
59,15NOV2022,59,770,,,18,15,,,,,,,,,,,,,
60,15NOV2022,60,770,,,18,15,,,,,,,,,,,,,
61,15NOV2022,61,430,,,48,47,,,,,,,,,,,,,
62,15NOV2022,62,6,10:00,113,34,43,34,43,-19,,,,,,,119,,15,5
63,15NOV2022,63,1,10:00,319,18,48,18,48,93,,,,,,,452,76,113,87
64,15NOV2022,64,3,10:00,221,43,40,43,40,55,,,,,,,135,22,24,19
65,15NOV2022,65,8,10:03,405,,,47,40,,,1,HL,,,W40,,,,
66,15NOV2022,66,4,10:04,209,40,43,40,43,43,,,,,,,70,,4,
67,15NOV2022,67,5,10:04,101,43,34,43,34,57,,,,,,,138,,1,
68,15NOV2022,68,12,10:06,513,34,24,34,24,52,,,,,,,93,,29,17
69,15NOV2022,69,13,10:09,409,47,48,47,48,213,,,,,,,1,,,
70,15NOV2022,70,14,10:11,407,48,47,48,47,15,,,,,,,2,,3,3
71,15NOV2022,71,2,10:12,307,48,16,48,18,,,1,OL,1,,C70,219,36,38,33
72,15NOV2022,72,,,,,,,,,,,,,,,,,,
73,15NOV2022,73,7,10:13,419,,,40,47,,,1,HL,,,R60,,,,
74,15NOV2022,74,11,10:13,503,24,34,24,34,144,,,,,,,69,,4,4
75,15NOV2022,75,6,10:15,115,34,43,34,43,-30,,,,,,,119,,3,
76,15NOV2022,76,1,10:15,321,18,48,18,48,182,,,,,,,304,,12,5
77,15NOV2022,77,3,10:15,223,43,40,43,40,56,,,,,,,108,,5,2
78,15NOV2022,78,8,10:18,407,47,40,47,40,54,,,,,,,225,24,27,21
79,15NOV2022,79,5,10:19,103,43,34,43,34,33,,,,,,,107,,7,1
80,15NOV2022,80,4,10:19,211,40,43,40,43,-29,,,,,,,87,26,22,17
81,15NOV2022,81,12,10:21,515,34,24,34,24,39,,,,,,,108,,10,1
82,15NOV2022,82,13,10:24,411,47,48,47,48,32,,,,,,,4,,,
83,15NOV2022,83,14,10:26,409,48,47,48,47,-10,,,,,,,1,,1,1
84,15NOV2022,84,2,10:27,309,48,18,48,18,28,,,,,,,153,,6,2
85,15NOV2022,85,7,10:28,421,40,47,40,47,-13,,,,,,,200,47,25,24
86,15NOV2022,86,11,10:28,505,24,34,24,34,142,,,,,,,86,,3,
87,15NOV2022,87,6,10:30,117,34,43,34,43,294,522,1,LA,6,0.87,M90,115,31,27,24
88,15NOV2022,88,1,10:30,323,18,48,18,48,239,,,,,,,243,,10,1
89,15NOV2022,89,3,10:30,201,43,40,43,40,97,,,,,,,101,,2,1
90,15NOV2022,90,8,10:33,409,47,40,47,40,,,,,,,,130,3,8,8
91,15NOV2022,91,4,10:34,213,40,43,40,43,-33,,,,,,,107,,5,
92,15NOV2022,92,5,10:34,105,43,34,43,34,48,,,,,,,119,,7,2
93,15NOV2022,93,12,10:36,517,34,24,34,24,168,,,,,,,87,1,6,4
94,15NOV2022,94,13,10:39,413,47,48,47,48,147,,,,,,,3,,,
95,15NOV2022,95,14,10:41,411,48,47,48,47,-14,,,,,,,2,,,
96,15NOV2022,96,2,10:42,311,48,18,48,18,53,,,,,,,145,,5,
97,15NOV2022,97,7,10:43,423,40,47,40,47,-15,,,,,,,188,,18,2
98,15NOV2022,98,11,10:43,507,24,34,24,34,113,,,,,,,88,,2,
99,15NOV2022,99,6,10:45,119,34,43,34,43,299,414,1,LD,2,0.23,M90,101,12,11,10
100,15NOV2022,100,1,10:45,325,18,48,18,48,176,,,,,,,215,,8,3
101,15NOV2022,101,3,10:45,203,43,40,43,40,80,,,,,,,114,,5,
102,15NOV2022,102,8,10:48,411,47,40,47,40,21,,,,,,,125,1,6,2
103,15NOV2022,103,5,10:49,107,43,34,43,34,51,,,,,,,115,,2,
104,15NOV2022,104,4,10:49,215,40,43,40,43,271,,,,,,,68,4,8,3
105,15NOV2022,105,12,10:51,519,34,24,34,24,217,,,,,,,62,,1,
106,15NOV2022,106,13,10:54,415,47,48,47,48,39,,,,,,,4,,,
107,15NOV2022,107,14,10:56,413,48,47,48,47,6,,,,,,,5,,,
108,15NOV2022,108,2,10:57,313,48,18,48,18,31,,,,,,,183,,9,1
109,15NOV2022,109,7,10:58,401,40,47,40,47,65,357,1,LD,15,1.4875,R60,224,,4,1
110,15NOV2022,110,11,10:58,509,24,34,24,34,42,,,,,,,89,,6,
111,15NOV2022,111,6,11:00,121,34,43,34,43,301,330,1,LA,13,1.19166666666667,M90,103,23,33,27
112,15NOV2022,112,1,11:00,301,18,48,18,48,140,,,,,,,246,2,11,6
113,15NOV2022,113,3,11:00,205,43,40,43,40,160,,,,,,,114,,2,2
114,15NOV2022,114,8,11:03,413,47,40,47,40,41,,,,,,,122,2,7,5
115,15NOV2022,115,5,11:04,109,43,34,43,34,90,,,,,,,106,,7,
116,15NOV2022,116,4,11:04,217,40,43,40,43,-19,,,,,,,77,7,12,9
117,15NOV2022,117,12,11:06,501,34,24,34,24,206,,,,,,,69,1,8,5
118,15NOV2022,118,13,11:09,417,47,48,47,48,26,,,,,,,6,,,
119,15NOV2022,119,14,11:11,415,48,47,48,47,-14,,,,,,,4,,1,1
120,15NOV2022,120,2,11:12,315,48,18,48,18,101,,,,,,,262,,9,2
121,15NOV2022,121,7,11:13,403,40,47,40,47,-45,,,,,,,177,,13,9
122,15NOV2022,122,11,11:13,511,24,34,24,34,112,,,,,,,106,,3,
123,15NOV2022,123,6,11:15,123,34,43,34,43,316,,,,,,,89,2,3,3
124,15NOV2022,124,1,11:15,303,18,48,18,48,92,,,,,,,235,,8,1
125,15NOV2022,125,3,11:15,207,43,40,43,40,202,342,1,LR,19,1.6625,A70,127,27,32,27
126,15NOV2022,126,8,11:18,415,47,40,47,40,32,,,,,,,111,,4,3
127,15NOV2022,127,5,11:19,111,43,34,43,34,426,385,1,CD,69,3.71805555555556,A50,138,44,49,39
128,15NOV2022,128,4,11:19,219,40,43,40,43,297,,1,ND,53,,K10,88,,6,4
129,15NOV2022,129,12,11:21,503,34,24,34,24,93,,,,,,,65,,1,1
130,15NOV2022,130,13,11:24,419,,,47,48,,,1,HL,,,W40,,,,
131,15NOV2022,131,14,11:26,417,48,47,48,47,-6,,,,,,,5,,1,1
132,15NOV2022,132,2,11:27,317,48,18,48,18,21,,,,,,,202,,4,
133,15NOV2022,133,7,11:28,405,40,47,40,47,5,,,,,,,159,,5,2
134,15NOV2022,134,11,11:28,513,24,34,24,34,115,,,,,,,74,,1,
135,15NOV2022,135,6,11:30,101,34,43,34,43,236,,,,,,,124,,16,10
136,15NOV2022,136,1,11:30,305,18,48,18,48,191,,,,,,,240,,6,
137,15NOV2022,137,3,11:30,209,43,40,43,40,99,,,,,,,131,,9,4
138,15NOV2022,138,8,11:33,417,47,40,47,40,54,,,,,,,89,1,6,4
139,15NOV2022,139,4,11:34,221,40,43,40,43,274,,,,,,,83,,7,3
140,15NOV2022,140,5,11:34,113,43,34,43,34,66,,,,,,,88,,5,2
141,15NOV2022,141,12,11:36,505,34,24,34,24,212,,,,,,,86,,6,
142,15NOV2022,142,13,11:39,421,47,48,47,48,-4,,,,,,,8,,,
143,15NOV2022,143,14,11:41,419,,,48,47,,,1,HL,,,Y10,,,,
144,15NOV2022,144,2,11:42,319,48,18,48,18,92,,,,,,,207,,7,4
145,15NOV2022,145,7,11:43,407,40,47,40,47,15,,,,,,,153,,5,
