RevDate,RUNKEY,RK,SRK,SLength,Length,FOTF,CAR1,CAR2,CAR3,CAR4,CAR5,CAR6,CAR7,CAR8,CAR9,CAR10,Id
20AUG2022,22877-66372-311-2,291,22877-66372-311-2,10,,,,,,,,,,,,,1
20AUG2022,22877-72396-311-1,324,22877-72396-311-1,10,,,,,,,,,,,,,2
20AUG2022,22877-77862-311-14,349,22877-77862-311-14,10,,,,,,,,,,,,,3
20AUG2022,22877-78840-311-13,353,22877-78840-311-13,10,,,,,,,,,,,,,4
20AUG2022,22877-79284-311-2,355,22877-79284-311-2,10,,,,,,,,,,,,,5
20AUG2022,22877-79566-301-1,358,22877-79566-301-1,10,,,,,,,,,,,,,6
20AUG2022,22877-83172-307-1,373,22877-83172-307-1,10,,,,,,,,,,,,,7
20AUG2022,22877-88638-307-14,394,22877-88638-307-14,10,,,,,,,,,,,,,8
20AUG2022,549/ 5:17: 9-101,1,549/ 5:17: 9-101,,10,0,1225,1698,1567,1555,1577,1888,1829,1906,1523,414,9
20AUG2022,549/ 5:37:52-101,398,22877-20532-101-5,10,10,0,1225,1698,1567,1555,1577,1888,1829,1906,1523,414,10
20AUG2022,549/ 7: 5:18-101,430,22877-25566-101-6,10,10,0,1225,1698,1567,1555,1577,1888,1829,1906,1523,414,11
20AUG2022,549/ 8:32:26-101,472,22877-31212-101-5,10,10,0,1225,1698,1567,1555,1577,1888,1829,1906,1523,414,12
20AUG2022,549/10: 5:21-101,62,22877-36420-101-6,10,10,0,1225,1698,1567,1555,1577,1888,1829,1906,1523,414,13
20AUG2022,549/11:32: 7-101,106,22877-42072-101-5,10,10,0,1225,1698,1567,1555,1577,1888,1829,1906,1523,414,14
20AUG2022,549/13: 5:35-101,146,22877-47226-101-6,10,10,0,1225,1698,1567,1555,1577,1888,1829,1906,1523,414,15
20AUG2022,549/14:39:53-101,190,22877-52872-101-5,10,10,0,1225,1698,1567,1555,1577,1888,1829,1906,1523,414,16
20AUG2022,549/16: 7: 2-101,229,22877-58026-101-6,10,10,0,1225,1698,1567,1555,1577,1888,1829,1906,1523,414,17
20AUG2022,549/17:31:39-101,29,549/17:31:39-101,,10,0,1225,1698,1567,1555,1577,1888,1829,1906,1523,414,18
20AUG2022,552/ 6: 1:32-209,407,22877-22440-209-3,8,8,1,3132,4074,4098,3012,3029,4122,4041,3154,,,19
20AUG2022,554/ 5:28:17-301,2,554/ 5:28:17-301,,10,1,3114,4053,4030,4016,3017,3142,4011,4027,4141,3035,20
20AUG2022,554/ 5:42:30-301,400,22877-21018-301-1,10,10,1,3114,4053,4030,4016,3017,3142,4011,4027,4141,3035,21
20AUG2022,554/ 7:22:13-301,437,22877-26790-301-2,10,10,1,3114,4053,4030,4016,3017,3142,4011,4027,4141,3035,22
20AUG2022,554/ 8:57:23-301,481,22877-32400-301-1,10,10,1,3114,4053,4030,4016,3017,3142,4011,4027,4141,3035,23
20AUG2022,554/10:29:57-301,78,22877-38460-301-2,10,10,1,3114,4053,4030,4016,3017,3142,4011,4027,4141,3035,24
20AUG2022,554/12:16:15-301,125,22877-44298-301-1,10,10,1,3114,4053,4030,4016,3017,3142,4011,4027,4141,3035,25
20AUG2022,554/13:49:51-301,169,22877-50190-301-2,10,10,1,3114,4053,4030,4016,3017,3142,4011,4027,4141,3035,26
20AUG2022,554/15:28:58-301,212,22877-55800-301-1,10,10,1,3114,4053,4030,4016,3017,3142,4011,4027,4141,3035,27
20AUG2022,554/17: 4:56-301,260,22877-61950-301-2,10,10,1,3114,4053,4030,4016,3017,3142,4011,4027,4141,3035,28
20AUG2022,554/18:41:20-301,301,22877-67728-301-1,10,10,1,3114,4053,4030,4016,3017,3142,4011,4027,4141,3035,29
20AUG2022,554/20:18:30-301,326,22877-73068-301-14,10,10,1,3114,4053,4030,4016,3017,3142,4011,4027,4141,3035,30
20AUG2022,554/20:22:42-301,329,22877-73440-301-13,10,10,1,3114,4053,4030,4016,3017,3142,4011,4027,4141,3035,31
20AUG2022,554/20:30:32-301,331,22877-73884-301-2,10,10,1,3114,4053,4030,4016,3017,3142,4011,4027,4141,3035,32
20AUG2022,554/22: 4:42-301,357,22877-79566-301-1,10,10,1,3035,4141,4027,4011,3142,3017,4016,4030,4053,3114,33
20AUG2022,555/ 5:33:31-309,4,555/ 5:33:31-309,,10,0,1231,1546,1896,1671,1643,1669,1735,1879,1827,1272,34
20AUG2022,555/ 6:38: 6-309,423,22877-24498-309-1,10,10,0,1231,1546,1896,1671,1643,1669,1735,1879,1827,1272,35
20AUG2022,555/ 8:18:35-309,465,22877-30390-309-2,10,10,0,1231,1546,1896,1671,1643,1669,1735,1879,1827,1272,36
20AUG2022,555/ 9:59:55-709,16,555/ 9:59:55-709,,10,0,1231,1546,1896,1671,1643,1669,1735,1879,1827,1272,37
20AUG2022,556/ 5:32:40-303,3,556/ 5:32:40-303,,10,1,3105,4196,4152,4146,3034,3048,4096,4135,4221,3102,38
20AUG2022,556/ 5:51:24-303,403,22877-21660-303-1,10,10,1,3105,4196,4152,4146,3034,3048,4096,4135,4221,3102,39
20AUG2022,556/ 7:31: 1-303,445,22877-27660-303-2,10,10,1,3105,4196,4152,4146,3034,3048,4096,4135,4221,3102,40
20AUG2022,556/ 9:12:57-303,491,22877-33498-303-1,10,10,1,3105,4196,4152,4146,3034,3048,4096,4135,4221,3102,41
20AUG2022,556/10:54:22-303,85,22877-39390-303-2,10,10,1,3105,4196,4152,4146,3034,3048,4096,4135,4221,3102,42
20AUG2022,556/12:27:27-303,129,22877-45000-303-1,10,10,1,3105,4196,4152,4146,3034,3048,4096,4135,4221,3102,43
20AUG2022,556/14: 1:39-303,177,22877-51132-303-2,10,10,1,3105,4196,4152,4146,3034,3048,4096,4135,4221,3102,44
20AUG2022,556/15:44:22-303,222,22877-56898-303-1,10,10,1,3105,4196,4152,4146,3034,3048,4096,4135,4221,3102,45
20AUG2022,556/17:18:19-303,266,22877-62800-303-2,10,10,1,3105,4196,4152,4146,3034,3048,4096,4135,4221,3102,46
20AUG2022,556/18:58:43-703,37,556/18:58:43-703,,10,1,3105,4196,4152,4146,3034,3048,4096,4135,4221,3102,47
20AUG2022,558/ 5:43:12-103,5,558/ 5:43:12-103,,10,0,1223,1900,1512,1682,1747,1774,1869,1806,1841,1261,48
20AUG2022,558/ 6: 6:12-103,405,22877-22212-103-5,10,10,0,1223,1900,1512,1682,1747,1774,1869,1806,1841,1261,49
20AUG2022,558/ 7:33:45-103,442,22877-27420-103-6,10,10,0,1223,1900,1512,1682,1747,1774,1869,1806,1841,1261,50
20AUG2022,558/ 9: 0:47-103,486,22877-33012-103-5,10,10,0,1223,1900,1512,1682,1747,1774,1869,1806,1841,1261,51
20AUG2022,558/10:35:18-103,76,22877-38220-103-6,10,10,0,1223,1900,1512,1682,1747,1774,1869,1806,1841,1261,52
20AUG2022,558/12: 2:31-103,120,22877-43872-103-5,10,10,0,1223,1900,1512,1682,1747,1774,1869,1806,1841,1261,53
20AUG2022,558/13:37: 3-103,160,22877-49026-103-6,10,10,0,1223,1900,1512,1682,1747,1774,1869,1806,1841,1261,54
20AUG2022,558/15: 2:15-103,203,22877-54672-103-5,10,10,0,1223,1900,1512,1682,1747,1774,1869,1806,1841,1261,55
20AUG2022,558/16:37: 3-103,243,22877-59826-103-6,10,10,0,1223,1900,1512,1682,1747,1774,1869,1806,1841,1261,56
20AUG2022,558/18: 5:17-103,32,558/18: 5:17-103,,10,0,1223,1900,1512,1682,1747,1774,1869,1806,1841,1261,57
20AUG2022,560/ 0:18: 5-501,392,22877-87510-501-12,10,9,0,387,1769,1605,1599,1730,1832,1638,1864,449,,58
20AUG2022,560/ 5:43:44-501,399,22877-20706-501-11,10,9,0,387,1769,1605,1599,1730,1832,1638,1864,449,,59
20AUG2022,560/ 6:50:15-501,427,22877-25104-501-12,10,9,0,387,1769,1605,1599,1730,1832,1638,1864,449,,60
