RevDate,RK,SRK,Rt,STrain,Train,SOr,SDe,Or,De,TN,RR,Dir,Loc,LLoc,DO,DC,SDO,SDC,DO1,DC1,SDO1,SDC1,LRD,DD,PLe,Delay,Note,Del,PDO,PDC,EOL,TS,ind,Code
22SEP2022,1,293/ 3: 4:17-960,770,,960,"","",C30,C40,1,1,1,C30,"",03:04,03:04,"","",11078,11078,,,0,0,2,0,"",0,0,0,,23SEP1922:05:26:21.000000,1,""
22SEP2022,1,293/ 3: 4:17-960,770,,960,"","",C30,C40,1,1,1,C40,C30,03:22,03:22,"","",12133,12133,,,0,0,2,0,"",0,0,0,,23SEP1922:05:26:21.000000,2,""
22SEP2022,2,286/ 3: 5:19-961,770,,961,"","",C30,C50,2,-1,1,C30,"",03:05,03:05,"","",11133,11133,,,0,0,2,0,"",0,0,0,,23SEP1922:05:26:21.000000,3,""
22SEP2022,2,286/ 3: 5:19-961,770,,961,"","",C30,C50,2,-1,1,C40,C30,03:22,03:22,"","",12126,12126,,,0,0,2,0,"",0,0,0,,23SEP1922:05:26:21.000000,4,""
22SEP2022,2,286/ 3: 5:19-961,770,,961,"","",C30,C50,1,1,1,C50,C40,03:38,03:38,"","",13116,13116,,,0,0,2,0,"",0,0,0,,23SEP1922:05:26:21.000000,5,""
22SEP2022,3,369/ 4:42:60-109,190,,109,"","",A80,S50,1,1,1,A80,"",04:43,04:43,"","",16995,16995,,,0,0,2,0,"",0,0,0,,23SEP1922:05:26:21.000000,6,""
22SEP2022,3,369/ 4:42:60-109,190,,109,"","",A80,S50,1,1,1,A90,A80,04:46,04:46,"","",17205,17205,,,0,0,2,0,"",0,0,0,,23SEP1922:05:26:21.000000,7,""
22SEP2022,3,369/ 4:42:60-109,190,,109,"","",A80,S50,1,1,1,S20,A90,04:51,04:51,"","",17512,17512,,,0,0,2,0,"",0,0,0,,23SEP1922:05:26:21.000000,8,""
22SEP2022,3,369/ 4:42:60-109,190,,109,"","",A80,S50,1,1,1,S40,S20,04:58,04:58,"","",17927,17927,,,0,0,0,0,"",0,0,0,,23SEP1922:05:26:21.000000,9,""
22SEP2022,3,369/ 4:42:60-109,190,,109,"","",A80,S50,1,1,1,S50,S40,05:02,05:02,"","",18131,18131,,,0,0,2,0,"",0,0,0,,23SEP1922:05:26:21.000000,10,""
22SEP2022,5,382/ 4:48:45-111,190,,111,"","",A80,S50,1,1,1,A80,"",04:49,04:49,"","",17340,17340,,,0,0,5,0,"",0,0,0,,23SEP1922:05:26:21.000000,37,""
22SEP2022,5,382/ 4:48:45-111,190,,111,"","",A80,S50,1,1,1,A90,A80,04:53,04:53,"","",17627,17627,,,0,0,5,0,"",0,0,0,,23SEP1922:05:26:21.000000,38,""
22SEP2022,5,382/ 4:48:45-111,190,,111,"","",A80,S50,1,1,1,S20,A90,04:58,04:58,"","",17935,17935,,,0,0,5,0,"",0,0,0,,23SEP1922:05:26:21.000000,39,""
22SEP2022,5,382/ 4:48:45-111,190,,111,"","",A80,S50,1,1,1,S40,S20,05:05,05:05,"","",18350,18350,,,0,0,0,0,"",0,0,0,,23SEP1922:05:26:21.000000,40,""
22SEP2022,5,382/ 4:48:45-111,190,,111,"","",A80,S50,1,1,1,S50,S40,05:10,05:10,"","",18620,18620,,,0,0,6,0,"",0,0,0,,23SEP1922:05:26:21.000000,41,""
