RevDate,RK,RUNKEY,Exits,HPOT,LPOT,UPOT,Id
26AUG2022,1,13/ 4:35:13-303,,,,,45
26AUG2022,2,19/ 4:51:52-105,,,,,152
26AUG2022,3,26/ 4:53:60-305,,,,,330
26AUG2022,4,23/ 4:54:43-107,,,,,290
26AUG2022,5,27/ 4:57: 2-511,,,,,348
26AUG2022,6,31/ 5: 2:11-203,,,,,409
26AUG2022,7,38/ 5: 3:22-307,,,,,480
26AUG2022,8,55/ 5:16: 4-111,,,,,744
26AUG2022,9,62/ 5:23:47-309,,,,,768
26AUG2022,10,68/ 5:32:13-113,,,,,779
26AUG2022,11,80/ 5:36:59-311,,,,,807
26AUG2022,12,82/ 5:46: 4-115,,,,,821
26AUG2022,13,91/ 5:53:20-117,,,,,868
26AUG2022,14,103/ 6: 7:23-119,,,,,1
26AUG2022,15,115/ 6:23:16-121,,,,,21
26AUG2022,16,125/ 6:40:49-123,,,,,31
26AUG2022,17,144/ 7: 5:32-323,,,,,73
26AUG2022,18,149/ 7:21:31-918,,,,,91
26AUG2022,19,105/ 7:47: 5-725,,,,,13
26AUG2022,20,167/ 7:57:12-207,,,,,118
26AUG2022,21,134/ 8:12:29-607,,,,,58
26AUG2022,22,185/ 8:20:51-951,,,,,145
26AUG2022,23,185/ 8:30: 8-951,,,,,146
26AUG2022,24,185/ 8:42:51-951,,,,,147
26AUG2022,25,14/10:24:39-951,,,,,69
26AUG2022,26,232/11:16:44-415,,,,,300
26AUG2022,27,248/11:46:54-419,,,,,320
26AUG2022,28,68/11:53:30-113,,,,,784
26AUG2022,29,62/12:21:34-709,,,,,773
26AUG2022,30,91/12:22: 7-117,,,,,873
26AUG2022,31,339/12:41:12-918,,,,,434
26AUG2022,32,115/12:51: 2-951,,,,,26
26AUG2022,33,70/12:56:41-515,24,0,5,1,792
26AUG2022,34,55/13: 2:17-111,77,0,1,1,751
26AUG2022,35,280/13:35: 3-217,,,,,376
26AUG2022,36,349/13:42:26-609,,,,,450
26AUG2022,37,70/13:43:55-515,141,54,51,42,794
26AUG2022,38,55/13:52:19-111,,,,,752
26AUG2022,39,354/13:52:57-611,,,,,456
26AUG2022,40,92/13:28: 2-519,51,0,9,0,881
26AUG2022,41,374/13:57:18-102,,,,,474
26AUG2022,42,377/14: 1:39-219,,,,,475
26AUG2022,43,82/13:31:51-115,80,0,12,0,828
26AUG2022,44,379/14: 5: 7-618,,,,,478
26AUG2022,45,53/14: 3:53-905,,,,,738
26AUG2022,46,381/14: 8:41-106,,,,,495
26AUG2022,47,362/14:12:37-613,,,,,463
26AUG2022,48,44/12:45: 6-503,22,3,3,3,592
26AUG2022,49,92/14:18:10-519,94,1,10,1,883
26AUG2022,50,82/14:18:41-115,68,0,3,1,830
26AUG2022,51,384/14:16:49-619,,,,,500
26AUG2022,52,234/14:22:51-110,,,,,307
26AUG2022,53,19/14:25: 8-108,,,,,159
26AUG2022,54,17/15:36:10-709,499,5,53,43,126
26AUG2022,55,55/16:10:11-124,,,,,754
26AUG2022,56,82/16:42:29-100,,,,,832
26AUG2022,57,125/16:45:32-102,,,,,38
26AUG2022,58,60/17: 0:42-721,,,,,767
26AUG2022,59,457/18:16:27-918,,,,,623
26AUG2022,60,26/18:35:13-707,,,,,339
26AUG2022,61,28/19:14:46-713,,,,,373
26AUG2022,62,51/20:12:44-321,,,,,725
26AUG2022,63,457/20:33:43-311,,,,,625
26AUG2022,64,474/21: 4: 3-213,,,,,653
