RevDate,RUNKEY,RK,SRK,SLength,Length,FOTF,CAR1,CAR2,CAR3,CAR4,CAR5,CAR6,CAR7,CAR8,CAR9,CAR10,Id
26OCT2022,10/ 5:16: 9-309,8,10/ 5:16: 9-309,,10,1,3162,4206,4048,4251,3006,3075,4038,4016,4099,3031,1
26OCT2022,10/ 5:28:52-309,652,22944-19836-309-1,10,10,1,3162,4206,4048,4251,3006,3075,4038,4016,4099,3031,2
26OCT2022,10/ 7: 2:34-309,726,22944-25944-309-2,10,10,1,3162,4206,4048,4251,3006,3075,4038,4016,4099,3031,3
26OCT2022,10/ 8:43: 4-709,14,10/ 8:43: 4-709,,10,1,3162,4206,4048,4251,3006,3075,4038,4016,4099,3031,4
26OCT2022,100/ 9:11:16-411,824,22944-33204-411-7,10,10,0,1276,1705,1591,1643,1650,1506,1903,1534,1657,1212,5
26OCT2022,100/10:24:49-411,75,22944-37488-411-13,10,10,0,1276,1705,1591,1643,1650,1506,1903,1534,1657,1212,6
26OCT2022,100/10:41: 3-411,88,22944-38484-411-14,10,10,0,1276,1705,1591,1643,1650,1506,1903,1534,1657,1212,7
26OCT2022,100/10:46:40-411,97,22944-38916-411-8,10,10,0,1276,1705,1591,1643,1650,1506,1903,1534,1657,1212,8
26OCT2022,101/ 9: 6:47-918,15,101/ 9: 6:47-918,,10,0,1203,1894,1647,1853,1589,418,1745,1624,1696,1249,9
26OCT2022,101/ 9:24: 1-315,840,22944-34242-315-1,10,10,0,1203,1894,1647,1853,1589,418,1745,1624,1696,1249,10
26OCT2022,101/11:14:31-315,115,22944-40344-315-2,10,10,0,1203,1894,1647,1853,1589,418,1745,1624,1696,1249,11
26OCT2022,101/12:44:46-315,193,22944-45942-315-1,10,10,0,1203,1894,1647,1853,1589,418,1745,1624,1696,1249,12
26OCT2022,101/14:26:46-315,276,22944-52044-315-2,10,10,0,1203,1894,1647,1853,1589,418,1745,1624,1696,1249,13
26OCT2022,101/16: 4:52-315,352,22944-57642-315-1,10,10,0,1203,1894,1647,1853,1589,418,1745,1624,1696,1249,14
26OCT2022,101/17:33:39-315,433,22944-63744-315-2,10,10,0,1203,1894,1647,1853,1589,418,1745,1624,1696,1249,15
26OCT2022,101/19:13: 3-315,507,22944-69342-315-1,10,10,0,1203,1894,1647,1853,1589,418,1745,1624,1696,1249,16
