RevDate,RK,SRK,Rt,STrain,Train,SOr,SDe,Or,De,TN,RR,Dir,Loc,LLoc,DO,DC,SDO,SDC,DO1,DC1,SDO1,SDC1,LRD,DD,PLe,Delay,Note,Del,PDO,PDC,EOL,TS,ind,Code
31OCT2022,1,851/ 4:35:50-317,340,,317,"","",W40,Y10,2,1,2,W40,"",04:36,04:36,"","",16604,16604,,,0,0,0,0,"",0,0,0,,01NOV1922:05:25:38.000000,1,""
31OCT2022,1,851/ 4:35:50-317,340,,317,"","",W40,Y10,1,1,1,Y10,W40,04:41,04:41,"","",16890,16890,,,0,0,2,0,"",0,0,0,,01NOV1922:05:25:38.000000,2,""
31OCT2022,2,850/ 4:36:53-109,190,,109,"","",A80,S50,1,1,1,A80,"",04:37,04:37,"","",16629,16629,,,0,0,2,0,"",0,0,0,,01NOV1922:05:25:38.000000,3,""
31OCT2022,2,850/ 4:36:53-109,190,,109,"","",A80,S50,1,1,1,A90,A80,04:40,04:40,"","",16838,16838,,,0,0,4,0,"",0,0,0,,01NOV1922:05:25:38.000000,4,""
31OCT2022,2,850/ 4:36:53-109,190,,109,"","",A80,S50,1,1,1,S20,A90,04:45,04:45,"","",17144,17144,,,0,0,2,0,"",0,0,0,,01NOV1922:05:25:38.000000,5,""
31OCT2022,2,850/ 4:36:53-109,190,,109,"","",A80,S50,1,1,1,S40,S20,04:52,04:52,"","",17558,17558,,,0,0,0,0,"",0,0,0,,01NOV1922:05:25:38.000000,6,""
31OCT2022,2,850/ 4:36:53-109,190,,109,"","",A80,S50,1,1,1,S50,S40,04:56,04:56,"","",17765,17765,,,0,0,5,0,"",0,0,0,,01NOV1922:05:25:38.000000,7,""
31OCT2022,3,852/ 4:40:19-305,770,,305,"","",C60,C88,1,1,1,C60,"",04:40,04:40,"","",16838,16838,,,0,0,4,0,"",0,0,0,,01NOV1922:05:25:38.000000,8,""
31OCT2022,3,852/ 4:40:19-305,770,,305,"","",C60,C88,1,1,1,C70,C60,04:43,04:43,"","",17018,17018,,,0,0,0,0,"",0,0,0,,01NOV1922:05:25:38.000000,9,""
31OCT2022,3,852/ 4:40:19-305,770,,305,"","",C60,C88,1,1,1,C80,C70,04:49,04:49,"","",17393,17393,,,0,0,6,0,"",0,0,0,,01NOV1922:05:25:38.000000,10,""
31OCT2022,3,852/ 4:40:19-305,770,,305,"","",C60,C88,2,-1,1,C88,C80,04:52,04:52,"","",17522,17522,,,0,0,6,0,"",0,0,0,,01NOV1922:05:25:38.000000,11,""
31OCT2022,5,853/ 4:46:49-111,190,,111,"","",A80,S50,1,1,1,A80,"",04:47,04:47,"","",17224,17224,,,0,0,6,0,"",0,0,0,,01NOV1922:05:25:38.000000,38,""
31OCT2022,5,853/ 4:46:49-111,190,,111,"","",A80,S50,1,1,1,A90,A80,04:50,04:50,"","",17448,17448,,,0,0,6,0,"",0,0,0,,01NOV1922:05:25:38.000000,39,""
31OCT2022,5,853/ 4:46:49-111,190,,111,"","",A80,S50,1,1,1,S20,A90,04:56,04:56,"","",17760,17760,,,0,0,2,0,"",0,0,0,,01NOV1922:05:25:38.000000,40,""
31OCT2022,5,853/ 4:46:49-111,190,,111,"","",A80,S50,1,1,1,S40,S20,05:03,05:03,"","",18187,18187,,,0,0,0,0,"",0,0,0,,01NOV1922:05:25:38.000000,41,""
31OCT2022,5,853/ 4:46:49-111,190,,111,"","",A80,S50,1,1,1,S50,S40,05:07,05:07,"","",18448,18448,,,0,0,6,0,"",0,0,0,,01NOV1922:05:25:38.000000,42,""
31OCT2022,6,860/ 4:53:13-203,110,,203,"","",A80,A90,1,1,1,A80,"",04:53,04:53,"","",17598,17598,,,0,0,0,0,"",0,0,0,,01NOV1922:05:25:38.000000,43,""
31OCT2022,6,860/ 4:53:13-203,110,,203,"","",A80,A90,2,-1,1,A90,A80,04:57,04:57,"","",17873,17873,,,0,0,2,0,"",0,0,0,,01NOV1922:05:25:38.000000,44,""
31OCT2022,7,869/ 4:57:57-307,770,,307,"","",C60,C88,1,1,1,C60,"",04:58,04:58,"","",17896,17896,,,0,0,4,0,"",0,0,0,,01NOV1922:05:25:38.000000,45,""
31OCT2022,7,869/ 4:57:57-307,770,,307,"","",C60,C88,1,1,1,C70,C60,05:01,05:01,"","",18070,18070,,,0,0,0,0,"",0,0,0,,01NOV1922:05:25:38.000000,46,""
31OCT2022,7,869/ 4:57:57-307,770,,307,"","",C60,C88,1,1,1,C80,C70,05:06,05:06,"","",18402,18402,,,0,0,6,0,"",0,0,0,,01NOV1922:05:25:38.000000,47,""
31OCT2022,7,869/ 4:57:57-307,770,,307,"","",C60,C88,2,-1,1,C88,C80,05:08,05:08,"","",18519,18519,,,0,0,6,0,"",0,0,0,,01NOV1922:05:25:38.000000,48,""
31OCT2022,8,884/ 5:11:50-309,770,,309,"","",C60,C88,1,1,1,C60,"",05:12,05:12,"","",18729,18729,,,0,0,4,0,"",0,0,0,,01NOV1922:05:25:38.000000,49,""
